HS_CODE_6,한국품목명_2012,한국수출금액_2012,한국수출금액_2013,한국수출금액_2014,한국수출금액_2015,한국수출금액_2016,한국수출증감률_2012,한국수출증감률_2013,한국수출증감률_2014,한국수출증감률_2015,한국수출증감률_2016,한국수입금액_2012,한국수입금액_2013,한국수입금액_2014,한국수입금액_2015,한국수입금액_2016,한국수입증감률_2012,한국수입증감률_2013,한국수입증감률_2014,한국수입증감률_2015,한국수입증감률_2016,한국수지_2012,한국수지_2013,한국수지_2014,한국수지_2015,한국수지_2016,중국품목명_2012,중국수출금액_2012,중국수출금액_2013,중국수출금액_2014,중국수출금액_2015,중국수출금액_2016,중국수출증감률_2012,중국수출증감률_2013,중국수출증감률_2014,중국수출증감률_2015,중국수출증감률_2016,중국수입금액_2012,중국수입금액_2013,중국수입금액_2014,중국수입금액_2015,중국수입금액_2016,중국수입증감률_2012,중국수입증감률_2013,중국수입증감률_2014,중국수입증감률_2015,중국수입증감률_2016,중국수지_2012,중국수지_2013,중국수지_2014,중국수지_2015,중국수지_2016,일본품목명_2012,일본수출금액_2012,일본수출금액_2013,일본수출금액_2014,일본수출금액_2015,일본수출금액_2016,일본수출증감률_2012,일본수출증감률_2013,일본수출증감률_2014,일본수출증감률_2015,일본수출증감률_2016,일본수입금액_2012,일본수입금액_2013,일본수입금액_2014,일본수입금액_2015,일본수입금액_2016,일본수입증감률_2012,일본수입증감률_2013,일본수입증감률_2014,일본수입증감률_2015,일본수입증감률_2016,일본수지_2012,일본수지_2013,일본수지_2014,일본수지_2015,일본수지_2016
730719,주철제의  기타  관연결구류,37905,24743,21355,24525,18976,129.1,-34.7,-13.7,14.8,-22.6,55112,57233,65994,59288,61822,-6.6,3.8,15.3,-10.2,4.3,-17207,-32491,-44639,-34763,-42846,"Other tube or pipe fittings, of cast iron",559171,554242,626708,594569,572467,6.6,-0.9,13.1,-5.1,-3.7,38579,45296,41858,35629,30518,-15.6,17.4,-7.6,-14.9,-14.3,520592,508946,584850,558940,541949,"Pipe or tube fittings, cast, of iron nesoi or steel",2895796,3357691,626708,594569,2950312,-6.7,16,13.1,-5.1,-10.3,4556671,4490318,41858,35629,4562248,13,-1.5,-7.6,-14.9,-23.1,-1660875,-1132627,584850,558940,-1611936
560311,1제곱미터당중량이25그램이하인것,36349,37309,36660,58153,51740,17.4,2.6,-1.7,58.6,-11,10489,9861,16663,16066,20275,-5.8,-6,69,-3.6,26.2,25860,27447,19997,42086,31465,Weighing not more than 25g/m2  of man-made filaments nonwovens,157152,205373,266373,303571,347355,7.9,30.7,29.7,14,14.4,48552,58417,68624,50796,40352,11.2,20.3,17.5,-26,-20.6,108600,146956,197749,252775,307003,Weighing not more than 25g/m2 (of man-made filaments nonwovens),1810203,1988031,266373,303571,1712842,4.4,9.8,29.7,14,-8.5,15813191,20798992,68624,50796,31447139,0.1,31.5,17.5,-26,1.2,-14002988,-18810961,197749,252775,-29734297
732182,액체연료용의  기타  비전기식  가정용기구 (철강제의  것 ),35789,44208,40524,30543,18411,26.3,23.5,-8.3,-24.6,-39.7,1180,4161,2321,2866,5274,-20.8,252.6,-44.2,23.5,84,34609,40047,38203,27677,13137,Other non-electric domestic appliances for liquid fuel,34470,26234,27969,25591,16655,-0.1,-23.9,6.6,-8.5,-34.9,168,179,326,284,320,145.9,6.5,81.9,-13,12.6,34302,26055,27643,25307,16335,"Nonelectric domestic appliances nesoi, for liquid fuel, of iron or steel",4148657,4616306,27969,25591,3564572,-26.2,11.3,6.6,-8.5,9.2,1983515,1878557,326,284,460887,34.1,-5.3,81.9,-13,-29,2165142,2737749,27643,25307,3103685
830710,철강제의  플렉시블  튜빙,34830,46115,48740,45578,43125,17.7,32.4,5.7,-6.5,-5.4,15059,21401,28941,24854,26845,4.8,42.1,35.2,-14.1,8,19771,24714,19799,20724,16280,Flexible tubing of iron or steel,121301,154657,173443,174149,180873,6.6,27.5,12.1,0.4,3.9,79024,71629,70872,65064,75655,2,-9.4,-1.1,-8.2,16.3,42277,83028,102571,109085,105218,"Flexible tubing, of iron or steel",3923891,3495607,173443,174149,3943011,15,-10.9,12.1,0.4,0.9,4544119,4975233,70872,65064,5239024,3.6,9.5,-1.1,-8.2,-17.9,-620228,-1479626,102571,109085,-1296013
340319,기타,34231,39680,49570,44698,44334,2.6,15.9,24.9,-9.8,-0.8,36933,40931,46954,48074,41993,5.5,10.8,14.7,2.4,-12.6,-2702,-1251,2616,-3376,2341,Lubricating preparations including cutting-oil preparations other,23171,26135,43176,40554,48016,25.6,12.8,65.2,-6.1,18.4,335469,371519,443551,501533,577284,16.4,10.7,19.4,13.1,15.1,-312298,-345384,-400375,-460979,-529268,"Lubricating preparations containing petroleum oils or oils obtained from bituminous minerals, nesoi",8777035,9912997,43176,40554,14787841,9,12.9,65.2,-6.1,24.4,2831717,4463798,443551,501533,4605077,9.9,57.6,19.4,13.1,-28.8,5945318,5449199,-400375,-460979,10182764
300610,"살균한외과용캣거트(catgut)ㆍ이와유사한살균한봉합재[살균한외과용이나치과용흡수성실을포함한다]ㆍ살균한수술상처의봉합용접착제,살균한라미나리아(laminaria)와살균한라미나리아(laminaria)의텐트,살균한외과용이나치과용흡수성지혈제,살균한외과용이나치과용유착방지제(흡수성이있는지에상관없다)",32716,24955,15822,21039,27963,24.2,-23.7,-36.6,33,32.9,58747,57382,51155,57098,61050,-1.4,-2.3,-10.9,11.6,6.9,-26031,-32427,-35333,-36059,-33087,"Sterile surgical catgut, similar sterile suture materials & sterile tissue adhesives for surgical wound closure , sterile laminaria & sterile laminaria tents , sterile absorbable surgical or dental haemostatics",9653,8923,7482,8402,4880,-9.1,-7.6,-16.1,12.3,-41.9,129546,175168,211350,246978,179602,12,35.2,20.7,16.9,-27.3,-119893,-166245,-203868,-238576,-174722,"Sterile surgical catgut, similar sterile suture materials and sterile tissue adhesives for surgical wound closure  sterile haemostatics, etc.",358101,529694,7482,8402,2468233,-15.1,47.9,-16.1,12.3,49.5,8637744,26076821,211350,246978,28933296,12.9,201.9,20.7,16.9,-12.7,-8279643,-25547127,-203868,-238576,-26465063
722790,기타,31830,35548,87253,90142,99687,14.9,11.7,145.5,3.3,10.6,331685,404637,393172,299059,285842,-8.5,22,-2.8,-23.9,-4.4,-299855,-369089,-305919,-208918,-186155,"Bars, rods, hot-rolled, in irregularly wound coils, of other alloy steel",3265447,4206992,5485358,4349641,3511802,69.7,28.8,30.4,-20.7,-19.3,111474,120776,157395,152008,161836,3.2,8.3,30.3,-3.4,6.5,3153973,4086216,5327963,4197633,3349966,"Bars and rods of alloy steel (other than stainless), hot-rolled, in irregularly wound coils, nesoi",50854783,63070214,5485358,4349641,56045773,3,24,30.4,-20.7,-21.6,10987381,14378460,157395,152008,13293739,86.3,30.9,30.3,-3.4,-19,39867402,48691754,5327963,4197633,42752034
320411,분산성염료와이들을기본재료로한조제품,31785,31673,41899,50004,52190,24,-0.4,32.3,19.3,4.4,93118,110215,134626,130915,117728,-10.8,18.4,22.1,-2.8,-10.1,-61333,-78543,-92727,-80912,-65538,Disperse dyes & preparations based thereon,521324,603394,735270,694608,627634,0.9,15.7,21.9,-5.5,-9.6,27926,27088,28038,33256,35458,-4.8,-3,3.5,18.6,6.6,493398,576306,707232,661352,592176,Disperse dyes and preparations based thereon,9901053,7910876,735270,694608,6009217,6.4,-20.1,21.9,-5.5,9.7,3600029,4449211,28038,33256,6601270,-11,23.6,3.5,18.6,0,6301024,3461665,707232,661352,-592053
851830,"헤드폰과이어폰(마이크로폰이부착된것인지에상관없다),마이크로폰과한개이상의확성기로구성된세트",30312,32800,30721,34164,43423,14.5,8.2,-6.3,11.2,27.1,197638,221232,203444,179620,175548,-2.4,11.9,-8,-11.7,-2.3,-167326,-188432,-172723,-145456,-132125,"Headphones, earphones & combined microphone/speaker sets",4210770,4147756,4197222,4129439,3669470,15.1,-1.5,1.2,-1.6,-11.1,1395516,1566759,1349179,1424887,1580364,66,12.3,-13.9,5.6,10.9,2815254,2580997,2848043,2704552,2089106,"Headphones, earphones and combined microphone/speaker sets",1758281,1960224,4197222,4129439,2142962,5.2,11.5,1.2,-1.6,8.5,26451679,30970305,1349179,1424887,37149715,10.1,17.1,-13.9,5.6,-1.6,-24693398,-29010081,2848043,2704552,-35006753
740931,코일모양,29683,33999,37455,39310,39386,-19.5,14.5,10.2,5,0.2,37869,37866,37971,31907,31248,-8.4,0,0.3,-16,-2.1,-8186,-3867,-516,7403,8138,"Plates, sheets & strip, of copper-tin base alloys  bronze , in coils",59316,44148,60321,46051,44896,-33.8,-25.6,36.6,-23.7,-2.5,193537,188077,182017,140956,128160,-26.6,-2.8,-3.2,-22.6,-9.1,-134221,-143929,-121696,-94905,-83264,"Plates, sheets and strip of copper-tin base alloys (bronze), over 0.15 mm thick, in coils",11746732,13711757,60321,46051,11779976,-17.6,16.7,36.6,-23.7,-19.8,1251537,1359514,182017,140956,1937402,-11.8,8.6,-3.2,-22.6,-0.5,10495195,12352243,-121696,-94905,9842574
831130,비금속(卑金屬)으로만든봉과선[플럭스(flux)를봉에도포하였거나심(芯)에충전한것으로서불로납땜ㆍ납접ㆍ용접하는것으로한정한다],29423,22365,17281,14835,13871,-16.5,-24,-22.7,-14.2,-6.5,7861,8158,6870,4459,4321,-36.4,3.8,-15.8,-35.1,-3.1,21562,14207,10411,10376,9550,"Coated rods & cored wire, of base metal for soldering,brazing,or welding by flame",89842,98937,143466,163365,147794,5.9,10.1,45,13.9,-9.5,84737,62672,66906,51550,44013,-22,-26,6.8,-23,-14.6,5105,36265,76560,111815,103781,"Coated rods and cored wire, of base metal, for soldering, brazing or welding by flame",3430066,2293280,143466,163365,1570218,-21.7,-33.1,45,13.9,-6.1,217802,228431,66906,51550,308906,-43.5,4.9,6.8,-23,-17.2,3212264,2064849,76560,111815,1261312
291613,메타아크릴산과그염,29196,49973,53131,42458,35391,101.3,71.2,6.3,-20.1,-16.6,7895,7669,7928,6411,7117,7.9,-2.9,3.4,-19.1,11,21301,42304,45203,36047,28274,Methacrylic acid & its salts,37097,27763,21320,15496,17948,-13.6,-25.2,-23.2,-27.3,15.8,17863,31048,32787,25986,35720,-32.8,73.8,5.6,-20.7,37.5,19234,-3285,-11467,-10490,-17772,Methacrylic acid and its salts,1961380,2492148,21320,15496,1641252,-49.6,27.1,-23.2,-27.3,-9.7,116087,478708,32787,25986,371488,26403.9,312.4,5.6,-20.7,-25.7,1845293,2013440,-11467,-10490,1269764
845140,세탁기ㆍ표백기ㆍ염색기,27338,24161,24446,26838,32648,13.3,-11.6,1.2,9.8,21.7,4205,8555,6183,5918,8162,0.2,103.5,-27.7,-4.3,37.9,23133,15605,18263,20919,24486,"Washing, bleaching or dyeing",82274,90474,112351,119872,125567,20.6,10,24.2,6.7,4.8,116859,146358,114019,102307,90307,-23.5,25.2,-22.1,-10.3,-11.7,-34585,-55884,-1668,17565,35260,"Washing, bleaching or dyeing machines for textiles yarns, fabrics or made up textiles articles",2110307,3015314,112351,119872,3286518,12.6,42.9,24.2,6.7,47.3,106825,337529,114019,102307,221296,-61.1,216,-22.1,-10.3,15.8,2003482,2677785,-1668,17565,3065222
740100,구리의매트(mat)와시멘트동(침전동),26965,23984,29793,24079,26635,33,-11.1,24.2,-19.2,10.6,48676,63217,140831,164460,103744,-55.9,29.9,122.8,16.8,-36.9,-21711,-39233,-111038,-140382,-77109,Copper mattes; cement copper  precipitated copper,0,0,415,2168,1,0,-100,0,421.9,-100,354689,408464,75688,131397,91544,16.7,15.2,-81.5,73.6,-30.3,-354689,-408464,-75273,-129229,-91543,Copper mattes; cement copper (precipitated copper),312667,290292,415,2168,243605,-35.3,-7.2,0,421.9,18.9,495131,447599,75688,131397,2516499,-25.5,-9.6,-81.5,73.6,-2.9,-182464,-157307,-75273,-129229,-2272894
230120,어류ㆍ갑각류ㆍ연체동물이나그밖의수생(水生)무척추동물의고운가루ㆍ거친가루ㆍ펠릿(pellet),26568,25599,28504,27966,17109,0.4,-3.6,11.3,-1.9,-38.8,68531,63409,91798,95560,89191,10.9,-7.5,44.8,4.1,-6.7,-41963,-37810,-63294,-67595,-72082,"Flours, meals, pellets of fish, crustaceans, molluscs  non edible",598,291,2247,9966,3790,-44.3,-51.4,672.6,343.5,-62,1693119,1675690,1562109,1797528,1616292,-3.3,-1,-6.8,15.1,-10.1,-1692521,-1675399,-1559862,-1787562,-1612502,"Flours, meals and pellets, of fish or of crustaceans, molluscs or other aquatic invertebrates, unfit for human consumption",548674,437364,2247,9966,276209,30,-20.3,672.6,343.5,6.1,28378449,31016400,1562109,1797528,24434196,2.7,9.3,-6.8,15.1,-45.2,-27829775,-30579036,-1559862,-1787562,-24157987
851679,기타,26493,23747,27595,21393,19862,-38.3,-10.4,16.2,-22.5,-7.2,52282,73315,92066,75298,84135,-2.5,40.2,25.6,-18.2,11.7,-25789,-49569,-64471,-53905,-64273,Other electro-thermic appliances,2160790,2640111,3036930,3045301,2980859,15.5,22.2,15,0.3,-2.1,40832,35472,36018,44202,39752,-17.9,-13.1,1.5,22.7,-10.1,2119958,2604639,3000912,3001099,2941107,"Electrothermic domestic appliances, nesoi",6489700,8574710,3036930,3045301,12990667,1.8,32.1,15,0.3,-1.8,31796293,34328581,36018,44202,33287607,-4.4,8,1.5,22.7,-17.2,-25306593,-25753871,3000912,3001099,-20296940
852560,수신기기를갖춘송신기기,26306,24358,49405,18027,18511,59.7,-7.4,102.8,-63.5,2.7,19759,19238,21269,29776,50042,-19.5,-2.6,10.6,40,68.1,6547,5120,28136,-11749,-31531,Transmission apparatus incorporating reception apparatus,18426,15955,8087,23910,12954,-35.2,-13.4,-49.3,195.7,-45.8,37782,25301,57544,32192,35067,3.6,-33,127.4,-44.1,8.9,-19356,-9346,-49457,-8282,-22113,Transmission apparatus incorporating reception apparatus,584133,537573,8087,23910,405651,-55.3,-8,-49.3,195.7,-44.9,1187105,1912650,57544,32192,1216231,-32.6,61.1,127.4,-44.1,-49.1,-602972,-1375077,-49457,-8282,-810580
480269,기타,25536,22705,10460,12249,14676,183.7,-11.1,-53.9,17.1,19.8,6363,8328,8831,8373,9354,-18.2,30.9,6,-5.2,11.7,19173,14376,1629,3875,5322,Other,59978,58423,47780,47545,64187,5.8,-2.6,-18.2,-0.5,35,25058,22736,16837,23030,29678,-5.6,-9.3,-25.9,36.8,28.9,34920,35687,30943,24515,34509,"Other paper and paperboard, of which more than 10% by weight of the total fibre content consists of fibres obtained by a mechanical or chemi-mechanical process,  n.e.s.",125791,129918,47780,47545,74126,-48,3.3,-18.2,-0.5,-42,152661,150394,16837,23030,104620,-11.2,-1.5,-25.9,36.8,5.6,-26870,-20476,30943,24515,-30494
853290,부분품,23682,23190,19736,20855,22446,-64.6,-2.1,-14.9,5.7,7.6,12175,14646,14649,14028,12114,-14,20.3,0,-4.2,-13.6,11507,8543,5087,6826,10332,"Parts of electrical capacitors, fixed, variable or adjustable pre-set",59660,201618,72581,72677,111558,-1.9,237.9,-64,0.1,53.5,165329,114334,102904,92838,76961,5.7,-30.8,-10,-9.8,-17.1,-105669,87284,-30323,-20161,34597,Parts for electrical capacitors,21616857,24870828,72581,72677,32122945,6.2,15.1,-64,0.1,15.4,1939965,2532282,102904,92838,3181923,5.5,30.5,-10,-9.8,16.3,19676892,22338546,-30323,-20161,28941022
920992,제 9202호  악기의  부분품과  부속품,22889,19635,19049,16342,14689,-2.2,-14.2,-3,-14.2,-10.1,6476,6893,5112,4149,5444,-16.2,6.4,-25.8,-18.8,31.2,16413,12742,13937,12192,9245,Parts & accessories for the musical instruments of he-ading no.9202,30605,34481,43199,52566,63184,-17.8,12.7,25.3,21.7,20.2,12923,11472,11212,9257,8846,26.6,-11.2,-2.3,-17.4,-4.4,17682,23009,31987,43309,54338,"Parts and accessories for string musical instruments, nesoi",327273,271382,43199,52566,235763,-7.7,-17.1,25.3,21.7,-19.9,1051809,1163779,11212,9257,1411906,1.7,10.6,-2.3,-17.4,-8.6,-724536,-892397,31987,43309,-1176143
