year,month,country,LC,MC,SC,S_code,export,export_rate,import,import_rate,CA
2016,1,EU,전기기계부품,전기변환장치,전동기,순번,308,-4.8,360,5.6,-52
2016,1,EU,전기기계부품,전기변환장치,발전기,24019,250,-19.2,180,2.9,70
2016,1,EU,전기기계부품,전기변환장치,변압기,6,176,10.5,89,1.7,87
2016,1,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,133,2.6,151,11.7,-18
2016,1,EU,전기기계부품,전기변환장치,방전램프용안정기,5,16,-17.4,19,-23.7,-3
2016,1,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,342,-0.9,438,12.7,-96
2016,2,EU,전기기계부품,전기변환장치,전동기,순번,380,12.1,368,16.0,12
2016,2,EU,전기기계부품,전기변환장치,발전기,24019,356,6.2,184,8.4,172
2016,2,EU,전기기계부품,전기변환장치,변압기,6,171,-15.8,94,17.3,77
2016,2,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,141,-2.0,139,11.6,2
2016,2,EU,전기기계부품,전기변환장치,방전램프용안정기,5,17,-21.4,17,-16.8,0
2016,2,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,404,12.1,385,-0.1,19
2016,3,EU,전기기계부품,전기변환장치,전동기,순번,422,4.2,386,6.2,36
2016,3,EU,전기기계부품,전기변환장치,발전기,24019,331,-17.0,197,7.1,134
2016,3,EU,전기기계부품,전기변환장치,변압기,6,242,7.7,87,5.2,155
2016,3,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,151,5.1,143,-2.4,8
2016,3,EU,전기기계부품,전기변환장치,방전램프용안정기,5,20,-18.6,22,2.5,-2
2016,3,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,438,-6.4,406,-7.4,32
2016,4,EU,전기기계부품,전기변환장치,전동기,순번,368,-2.8,376,10.9,-8
2016,4,EU,전기기계부품,전기변환장치,발전기,24019,381,8.8,198,8.1,183
2016,4,EU,전기기계부품,전기변환장치,변압기,6,210,9.9,92,4.0,118
2016,4,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,175,23.9,146,2.9,29
2016,4,EU,전기기계부품,전기변환장치,방전램프용안정기,5,19,-16.3,20,-2.0,-1
2016,4,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,409,1.2,413,1.1,-4
2016,5,EU,전기기계부품,전기변환장치,전동기,순번,361,4.6,376,11.9,-15
2016,5,EU,전기기계부품,전기변환장치,발전기,24019,444,20.9,207,13.3,237
2016,5,EU,전기기계부품,전기변환장치,변압기,6,226,12.3,108,43.1,118
2016,5,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,140,1.4,149,2.2,-9
2016,5,EU,전기기계부품,전기변환장치,방전램프용안정기,5,18,-10.5,19,-12.7,-1
2016,5,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,361,-9.0,419,0.7,-58
2016,6,EU,전기기계부품,전기변환장치,전동기,순번,399,-2.7,390,2.5,9
2016,6,EU,전기기계부품,전기변환장치,발전기,24019,345,-4.8,206,-2.1,139
2016,6,EU,전기기계부품,전기변환장치,변압기,6,205,-21.4,97,-5.7,108
2016,6,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,178,12.4,152,3.8,26
2016,6,EU,전기기계부품,전기변환장치,방전램프용안정기,5,20,-13.0,19,-5.4,1
2016,6,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,418,-7.1,435,-1.0,-17
2016,7,EU,전기기계부품,전기변환장치,전동기,순번,386,-9.0,336,-7.5,50
2016,7,EU,전기기계부품,전기변환장치,발전기,24019,312,-17.9,179,-14.1,133
2016,7,EU,전기기계부품,전기변환장치,변압기,6,222,-3.4,80,-18.7,142
2016,7,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,130,-13.1,142,0.2,-12
2016,7,EU,전기기계부품,전기변환장치,방전램프용안정기,5,19,-20.6,17,-24.9,2
2016,7,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,374,-20.7,395,-9.7,-21
2016,8,EU,전기기계부품,전기변환장치,전동기,순번,384,13.8,351,15.1,33
2016,8,EU,전기기계부품,전기변환장치,발전기,24019,367,40.5,211,21.7,156
2016,8,EU,전기기계부품,전기변환장치,변압기,6,193,-4.6,94,4.0,99
2016,8,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,155,16.3,154,12.8,1
2016,8,EU,전기기계부품,전기변환장치,방전램프용안정기,5,18,-0.7,14,-14.7,4
2016,8,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,423,0.8,428,6.9,-5
2016,9,EU,전기기계부품,전기변환장치,전동기,순번,381,8.1,391,0.2,-10
2016,9,EU,전기기계부품,전기변환장치,발전기,24019,363,11.4,208,3.8,155
2016,9,EU,전기기계부품,전기변환장치,변압기,6,204,1.7,96,11.9,108
2016,9,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,145,-10.6,157,2.4,-12
2016,9,EU,전기기계부품,전기변환장치,방전램프용안정기,5,17,-16.1,14,-27.8,3
2016,9,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,433,-2.4,444,2.3,-11
2016,10,EU,전기기계부품,전기변환장치,전동기,순번,365,-4.4,370,0.6,-5
2016,10,EU,전기기계부품,전기변환장치,발전기,24019,329,7.7,194,-4.0,135
2016,10,EU,전기기계부품,전기변환장치,변압기,6,210,1.1,90,5.7,120
2016,10,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,155,-18.1,147,3.3,8
2016,10,EU,전기기계부품,전기변환장치,방전램프용안정기,5,17,-22.4,14,-28.3,3
2016,10,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,411,-9.6,458,4.0,-47
2016,11,EU,전기기계부품,전기변환장치,전동기,순번,384,2.4,382,10.7,2
2016,11,EU,전기기계부품,전기변환장치,발전기,24019,369,-3.1,218,20.4,151
2016,11,EU,전기기계부품,전기변환장치,변압기,6,221,4.2,85,-6.6,136
2016,11,EU,전기기계부품,전기변환장치,전자코일 및 기타유도자,24015,150,-5.5,145,0.8,5
2016,11,EU,전기기계부품,전기변환장치,방전램프용안정기,5,15,-16.8,12,-23.8,3
2016,11,EU,전기기계부품,전기변환장치,기타 전기변환장치,24014,460,2.6,456,3.8,4
2016,12,EU,전기기계부품,전기변환장치,전동기,순번,398,9.4,328,7.2,70
2016,12,EU,전기기계부품,전기변환장치,발전기,24019,444,29.5,182,13.2,262
2016,12,EU,전기기계부품,전기변환장치,변압기,6,228,5.8,74,1.9,154
