year,month,country,SC,S_code,export,import,page
2001,1,한국,030791,초음파 영상진단기,"6,101","1,584",1
2001,1,한국,030379,"살아있는것,신선한것,냉장한것","6,078","36,368",1
2001,1,한국,851780,기타,"6,056","2,031",1
2001,1,한국,482110,기타의 기기,"6,049","1,359",1
2001,1,한국,841590,지  또는  판지제의  레이블 (인쇄한것 ),"6,047","1,599",1
2001,1,한국,320890,공기조절기의  부분품,"5,963","11,064",1
2001,1,한국,845229,기타,"5,918","1,079",1
2001,1,한국,310530,기타,"5,769",0,1
2001,1,한국,420310,오르토인산수소 2암모늄 (인산 2암모늄 ),"5,767","3,441",1
2001,1,한국,490199,의류,"5,757","8,510",1
2001,1,한국,900110,기타,"5,756","1,242",1
2001,1,한국,852499,광섬유ㆍ광섬유다발과광섬유케이블,"5,732",233,1
2001,1,한국,920790,"기타 (테이프, 레코드)","5,697",329,1
2001,1,한국,391810,기타,"5,670","1,166",1
2001,1,한국,611120,염화비닐의중합체로만든것,"5,670","1,047",1
2001,1,한국,481840,면으로만든것,"5,660","1,304",1
2001,1,한국,550810,위생 타올과 탐폰ㆍ유아용 냅킨과 냅킨 라이너 및 이와 유사한 위생용품,"5,632",589,1
2001,1,한국,160430,합성스테이플섬유의것,"5,621",541,1
2001,1,한국,030342,캐비아와 캐비아 대용물,"5,578",81,1
2001,1,한국,280300,냉동황다랭이 (간장과  어란제외 ),"5,562","1,636",1
2001,1,한국,841821,탄소[카본블랙(carbonblack)과따로분류되지않은탄소물품을포함한다],"5,559",453,1
2001,1,한국,851140,압축식,"5,533",90,1
2001,1,한국,851660,시동전동기와겸용시동발전기,"5,519","2,284",1
2001,1,한국,851730,"그밖의오븐,쿠커ㆍ조리판ㆍ보일링링ㆍ그릴러ㆍ로스터","5,518","1,065",1
2001,1,한국,847050,유선전화용  또는  유선전신용  교환기,"5,513","1,610",1
2001,1,한국,320416,금전등록기,"5,480","2,129",1
2001,1,한국,720837,반응성염료와  이들을  기제로한  조제품,"5,469","15,512",1
2001,1,한국,160590,두께가4.75밀리미터이상10밀리미터이하인것,"5,448","5,348",1
2001,1,한국,540822,기타,"5,437",101,1
2001,1,한국,854441,염색직물 (재생 .반합성장섬유 85%이상 ),"5,374","8,482",1
2001,1,한국,841780,접속자와  부착한  전선 (전압 80볼트이하 ),"5,364","4,018",1
2001,1,한국,293499,기타,"5,363","10,842",1
2001,1,한국,950390,기타,"5,328","7,150",1
2001,1,한국,291612,기타  완구,"5,291","2,363",1
2001,1,한국,960720,아크릴산의에스테르,"5,268","1,007",1
2001,1,한국,620433,부분품,"5,240","6,609",1
2001,1,한국,390690,합성섬유제의  여자용  자켓 (직물제 ),"5,238","7,229",1
2001,1,한국,900150,기타,"5,233","1,726",1
2001,1,한국,600490,그밖의재료로만든안경렌즈,"5,188",94,1
2001,1,한국,390320,기타,"5,179",365,1
2001,1,한국,854420,스티렌 -아크릴로니트릴  공중합체 (SAN),"5,172","2,237",1
2001,1,한국,511211,동축케이블과  기타의  동축도체,"5,169",835,1
2001,1,한국,960719,1제곱미터당중량이200그램이하인것,"5,130",626,1
2001,1,한국,700521,기타,"5,126","7,570",1
2001,1,한국,722519,"전부분을착색한것(엷게색상이있는색유리를포함한다),불투명한것,다른착색유리로입힌것,단순히표면을연마한것","5,119","2,113",1
2001,1,한국,820239,규소전기강의  기타  평판압연제품 (폭 600MM이상),"5,109",384,1
2001,1,한국,854089,기타(부분품을포함한다),"5,082","1,476",1
2001,1,한국,620630,기타,"5,076","2,840",1
2001,1,한국,392010,"면제의  여자용  브라우스 ,셔츠 ,셔츠브라우스 (직물제 )","5,073","3,478",1
2001,1,한국,841990,에틸렌  중합제의  기타  판 .쉬이트 .필름 .박 .스프¿ (넌  셀루라 ),"5,062","5,828",1
2001,1,한국,080820,부분품,"5,022",0,1
2001,1,한국,390311,배 및 마르멜로,"4,961",298,1
2001,1,한국,730660,발포성의  폴리스티렌,"4,961",163,1
