year,month,country,LC,MC,SC,S_code,export,export_rate,import,import_rate,CA
2016,1,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,90,0.0,556,3.9,-466
2016,1,미국,섬유제품,제사 및 방적,면방적,11019,"100,525",-8.9,"11,256",6.3,"89,269"
2016,1,미국,섬유제품,제사 및 방적,모방적,6,894,-28.6,"9,649",12.3,"-8,755"
2016,1,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"41,612",0.2,"20,207",-23.4,"21,405"
2016,1,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"11,173",-28.5,"4,613",4.7,"6,560"
2016,1,미국,섬유제품,제사 및 방적,기타 방적,11014,3,-96.6,245,43.6,-242
2016,2,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,9,0.0,923,20.7,-914
2016,2,미국,섬유제품,제사 및 방적,면방적,11019,"96,476",-13.6,"12,119",5.1,"84,357"
2016,2,미국,섬유제품,제사 및 방적,모방적,6,889,-9.5,"8,129",-19.2,"-7,240"
2016,2,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"39,153",-3.1,"19,548",-15.3,"19,605"
2016,2,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"13,505",3.0,"3,999",-9.6,"9,506"
2016,2,미국,섬유제품,제사 및 방적,기타 방적,11014,3,-96.3,427,91.7,-424
2016,3,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,17,0.0,565,2.0,-548
2016,3,미국,섬유제품,제사 및 방적,면방적,11019,"99,205",-15.1,"11,317",-23.7,"87,888"
2016,3,미국,섬유제품,제사 및 방적,모방적,6,819,-43.1,"7,966",-29.9,"-7,147"
2016,3,미국,섬유제품,제사 및 방적,화학섬유 방적,11015,"39,041",-16.4,"21,929",-32.0,"17,112"
2016,3,미국,섬유제품,제사 및 방적,연사제조 및 실 가공,5,"12,296",-21.8,"3,908",-31.3,"8,388"
2016,3,미국,섬유제품,제사 및 방적,기타 방적,11014,10,-87.5,185,-39.2,-175
2016,4,미국,섬유제품,제사 및 방적,제사 및 견방적,순번,0,-100.0,458,-27.5,-458
2016,4,미국,섬유제품,제사 및 방적,면방적,11019,"100,574",-9.2,"11,343",-27.5,"89,231"
2016,4,미국,섬유제품,제사 및 방적,모방적,6,717,18.4,"9,243",-15.2,"-8,526"
