CA,LC,MC,SC,S_code,country,export,export_rate,import,import_rate,month,year
-466,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,90,0.0,556,3.9,1,2016
"89,269",섬유제품,제사 및 방적,면방적,11019,미국,"100,525",-8.9,"11,256",6.3,1,2016
"-8,755",섬유제품,제사 및 방적,모방적,6,미국,894,-28.6,"9,649",12.3,1,2016
"21,405",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"41,612",0.2,"20,207",-23.4,1,2016
"6,560",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"11,173",-28.5,"4,613",4.7,1,2016
-242,섬유제품,제사 및 방적,기타 방적,11014,미국,3,-96.6,245,43.6,1,2016
-914,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,9,0.0,923,20.7,2,2016
"84,357",섬유제품,제사 및 방적,면방적,11019,미국,"96,476",-13.6,"12,119",5.1,2,2016
"-7,240",섬유제품,제사 및 방적,모방적,6,미국,889,-9.5,"8,129",-19.2,2,2016
"19,605",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"39,153",-3.1,"19,548",-15.3,2,2016
"9,506",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"13,505",3.0,"3,999",-9.6,2,2016
-424,섬유제품,제사 및 방적,기타 방적,11014,미국,3,-96.3,427,91.7,2,2016
-548,섬유제품,제사 및 방적,제사 및 견방적,순번,미국,17,0.0,565,2.0,3,2016
"87,888",섬유제품,제사 및 방적,면방적,11019,미국,"99,205",-15.1,"11,317",-23.7,3,2016
"-7,147",섬유제품,제사 및 방적,모방적,6,미국,819,-43.1,"7,966",-29.9,3,2016
"17,112",섬유제품,제사 및 방적,화학섬유 방적,11015,미국,"39,041",-16.4,"21,929",-32.0,3,2016
"8,388",섬유제품,제사 및 방적,연사제조 및 실 가공,5,미국,"12,296",-21.8,"3,908",-31.3,3,2016
-175,섬유제품,제사 및 방적,기타 방적,11014,미국,10,-87.5,185,-39.2,3,2016
